Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Volumen
02.01.12;115,45;119,8;119,8;114,95;767.073
03.01.12;121,3;122,85;123,35;121;1.192.211
04.01.12;122,65;122,95;123,9;121,7;867.658
05.01.12;123,45;126,2;126,55;122,4;1.206.364
06.01.12;126,4;124;127,5;123,4;1.094.656
09.01.12;124,1;121,75;125,65;121,45;1.142.008
10.01.12;123,75;125,7;127,15;123,55;1.644.756
11.01.12;125,55;126,3;127;124,6;933.111
12.01.12;125,85;128,8;129,4;125,2;1.503.791
13.01.12;129,8;126;130;123,45;1.516.124
16.01.12;125,7;128,9;128,95;124,5;950.332
17.01.12;130,7;132;133,95;130,3;2.002.502
18.01.12;131,9;132;132,55;129,7;1.073.767
19.01.12;132,9;135,55;135,55;130,55;1.732.159
20.01.12;135,6;134,5;136;133,8;1.314.054
23.01.12;134;134,5;135,95;131,6;990.931
24.01.12;133,5;136,2;136,2;132,5;1.030.741
25.01.12;137;137,05;137,6;135,35;966.182
26.01.12;137,9;139,75;141,55;137,15;1.416.848
27.01.12;139,05;136,45;140,5;136,3;1.317.072
30.01.12;135;136,8;138,7;132,65;1.210.363
31.01.12;137,55;135,35;138,25;135,2;1.116.371
01.02.12;136,2;138,65;139;135,8;1.249.444
02.02.12;139,7;138,2;140;137,1;1.024.438
03.02.12;137,65;142,2;142,2;137,1;1.345.076
06.02.12;141,5;143,45;143,7;140,65;1.050.919
07.02.12;143,9;141,75;144,9;139,15;957.799
08.02.12;143,25;141,6;143,8;140,8;875.314
09.02.12;142,75;144,6;147,2;142,25;1.794.694
10.02.12;143,4;140,7;145,6;139,85;1.448.247
13.02.12;142,1;144,4;145,6;142;926.510
14.02.12;143,75;141,05;146,25;140,3;1.190.194
15.02.12;142,85;139,5;143;138,05;1.111.851
16.02.12;138;140,15;140,15;134,8;1.247.750
17.02.12;142;142,5;143,3;140,4;1.201.304
20.02.12;143,5;144,1;144,65;142,25;647.739
21.02.12;143,9;144,75;145,3;142,4;879.598
22.02.12;144,4;142,45;144,95;141,75;962.215
23.02.12;142;139,15;142,7;136,9;1.596.060
24.02.12;140,4;139,25;141,15;136,45;1.834.412
27.02.12;137,3;138,35;139,25;134,6;2.052.738
28.02.12;138,75;140,8;141;137,5;1.099.948
29.02.12;141,4;140,35;142,3;139,6;1.214.337
01.03.12;139,85;143,45;144,2;139,3;1.189.026
02.03.12;143,6;143,95;144,8;143;781.183
05.03.12;143;142,95;144,65;140,9;1.067.779
06.03.12;141,65;136,45;142,1;136,45;1.692.973
07.03.12;136,15;136,8;138,15;135,2;1.270.021
08.03.12;137,45;141,05;141,45;137,4;1.403.834
09.03.12;141,2;142,8;143,35;139,6;975.947
12.03.12;142,2;139,8;142,9;138,65;1.428.715
13.03.12;141;137,6;141,3;136,6;1.808.714
14.03.12;138,8;141,9;142,3;137,55;1.560.009
15.03.12;142;141,95;142,3;140,7;1.060.606
16.03.12;142;141,25;142,5;139,5;2.337.851
19.03.12;140,35;139,2;140,4;137,55;1.091.714
20.03.12;135,8;133,05;136,25;132;1.914.590
21.03.12;134,7;132,05;134,7;131,1;1.624.246
22.03.12;131,9;130,15;133,25;129,25;1.395.946
23.03.12;130,15;132,35;132,65;129,3;1.043.287
26.03.12;133;132,75;133,9;130,65;933.971
27.03.12;133,8;134,15;135,95;133,5;1.030.586
28.03.12;133,9;132,9;135,5;132,6;974.953
29.03.12;132,6;129,65;133,1;128,85;1.400.315
30.03.12;130,75;131,85;133;130,15;988.731
02.04.12;132,85;133,8;133,8;130;1.166.590
03.04.12;133,85;133,05;135,3;132,5;1.173.447
04.04.12;132,1;129,4;132,7;128,65;1.180.576
05.04.12;130;128,95;130,75;126,9;1.286.448
10.04.12;126,7;125,1;128,65;125,1;1.481.161
11.04.12;125,3;128,8;130,45;125,2;1.324.407
12.04.12;130,3;131,25;131,95;129,3;1.335.103
13.04.12;131,4;128,8;132,1;128,35;1.022.274
16.04.12;128,1;131;132,1;127,8;980.533
17.04.12;130;133,1;133,35;129,55;1.128.497
18.04.12;132,8;131,5;134;131,5;1.162.923
19.04.12;132,4;127;133,2;127;2.139.748
20.04.12;125,15;125,4;126,2;123,2;1.616.026
23.04.12;123,9;121,25;123,95;120,55;1.386.601
24.04.12;122,05;123,5;124,35;121;1.279.266
25.04.12;124,55;126,2;126,9;124,35;1.165.107
26.04.12;126;137,2;137,95;125,8;3.939.314
27.04.12;136,35;141,85;142,05;136,25;2.840.438
30.04.12;142,85;143,1;144,65;142,6;1.481.407
02.05.12;145;142,4;145,5;141,55;1.422.004
03.05.12;142,7;145;145,5;142,5;1.771.014
04.05.12;144,3;139,95;144,4;138,9;1.442.663
07.05.12;135,5;139,25;139,8;134,6;965.466
08.05.12;138,65;136,05;139,4;134,85;1.157.153
09.05.12;136,4;135,95;137,95;133,8;1.156.764
10.05.12;136,7;134,4;137,3;133,1;1.307.732
11.05.12;133,55;137,4;137,65;132,8;967.191
14.05.12;136;134,85;136,5;133,95;771.472
15.05.12;135,1;133,75;135,95;131,9;1.046.186
16.05.12;132,15;132,2;133,05;130,15;1.166.740
17.05.12;132,4;130,8;133,9;130,75;854.375
18.05.12;129,5;128,2;129,8;126,45;1.636.519
21.05.12;128,5;129,45;131;128;832.007
22.05.12;131,05;132,65;133,35;130,65;1.280.594
23.05.12;131;128,25;131,4;127,65;1.308.500
24.05.12;129,6;128,25;129,65;125,75;1.322.861
25.05.12;128,4;128,45;129,75;127,65;856.021
28.05.12;129,75;128,95;131;128,55;430.909
29.05.12;130,4;134,45;135,75;130,3;1.343.030
30.05.12;133,5;130,55;134,1;129,85;1.319.384
31.05.12;130,6;129,1;132,6;128,5;1.536.111
01.06.12;129,15;123,75;129,3;123;1.929.737
04.06.12;122,3;119,75;122,3;119,4;1.409.763
05.06.12;120,85;120,5;121,2;118;814.598
06.06.12;121,85;122,15;122,4;119,85;1.634.704
07.06.12;122,35;123,5;127,35;121,1;1.781.540
08.06.12;122,2;121,85;122,25;119,2;1.127.970
11.06.12;126;123,45;127,65;123,05;1.656.180
12.06.12;123,35;124,3;125,4;121,85;1.120.464
13.06.12;124,8;122,05;126,55;120,15;1.463.765
14.06.12;121,5;121,25;122,2;119,9;1.096.362
15.06.12;121,5;123,65;124,9;121,5;1.986.122
18.06.12;125,8;124,65;126,4;124,1;1.044.617
19.06.12;124,45;126,4;126,7;124,45;914.119
20.06.12;126,25;127,6;128,15;124,8;875.125
21.06.12;126,75;123,7;127;123,55;1.188.383
22.06.12;123,1;121,15;123,1;120,65;1.172.333
25.06.12;120,5;119;121,35;118,75;1.183.153
26.06.12;118,65;118,45;119,55;115,95;1.191.954
27.06.12;118,65;118,3;120,2;116,15;1.172.035
28.06.12;118,3;118;119,65;116,15;1.030.254
29.06.12;121,7;124,6;124,6;119,65;1.618.738
02.07.12;124;124,5;126,65;122,6;1.262.947
03.07.12;124,85;127,95;128,5;124,85;1.308.590
04.07.12;128;128;129,1;126,3;729.928
05.07.12;133,15;134,5;138,15;132,45;3.341.988
