Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Volumen
15.05.17;87,69;87,35;87,9;86,56;1.555.557
12.05.17;87,03;87,24;88,07;86,87;2.348.529
11.05.17;90,67;90,14;91,06;89,57;2.727.611
10.05.17;89,44;90,52;90,9;89,44;1.926.305
09.05.17;90,15;89,53;90,18;88,5;1.914.241
08.05.17;89,67;89,89;90,06;88,9;2.263.707
05.05.17;87,5;89,1;89,1;86,99;2.668.487
04.05.17;87,68;87,3;88,72;86,64;2.232.748
03.05.17;87,53;86,9;87,53;86,62;1.663.461
02.05.17;88,59;87,71;88,79;87,03;1.864.875
28.04.17;87,7;87,65;88,23;87,35;1.714.974
27.04.17;88,4;87,7;88,4;87,31;1.678.073
26.04.17;87,86;88,66;88,97;87,55;2.013.349
25.04.17;87,7;87,77;88;86,92;1.681.180
24.04.17;86,43;87,43;87,62;86,25;3.070.174
21.04.17;84,25;84,93;85,41;83,92;2.363.017
20.04.17;83,55;84,08;85,31;82,99;2.432.624
19.04.17;82,73;83,98;84,39;82,69;2.118.830
18.04.17;83,41;82,44;83,43;81,89;1.617.270
13.04.17;83,51;82,83;83,8;82,69;1.383.419
12.04.17;83,6;83,39;84,12;82,93;1.829.069
11.04.17;82,65;82,63;83,02;82,01;1.506.405
10.04.17;83,17;82,71;83,27;82,11;1.143.207
07.04.17;82,65;82,79;83,01;82,27;1.218.307
06.04.17;82,8;82,95;82,95;81,76;1.710.527
05.04.17;84;83,24;84;82,97;1.656.950
04.04.17;84,76;83,95;84,8;82,95;2.170.607
03.04.17;85,98;84,87;86,08;84,52;1.636.969
31.03.17;85,58;85,51;85,77;84,72;1.474.396
30.03.17;85;85,58;85,9;84,8;1.577.509
29.03.17;84,7;84,81;85,33;84,15;1.708.850
28.03.17;84,04;84,48;84,77;83,48;1.719.210
27.03.17;83,1;83,48;83,48;82,45;1.424.345
24.03.17;83,4;83,68;83,75;82,44;1.565.883
23.03.17;82,97;83,08;83,25;82,19;1.391.640
22.03.17;81,96;82,74;82,79;81,1;1.645.875
21.03.17;82,84;82,93;84,77;81,8;2.667.179
20.03.17;82,51;82,5;82,7;81,96;2.016.318
17.03.17;83,25;82,89;83,48;82,1;3.108.440
16.03.17;84,29;83,68;84,3;83,23;1.804.195
15.03.17;83,26;83,19;83,55;82,92;2.002.514
14.03.17;83,9;83,4;84,11;83,01;2.201.982
13.03.17;83,8;83,89;84,35;83,56;1.681.567
10.03.17;84,68;83,54;85,56;83,32;2.433.446
09.03.17;86,35;84,43;86,85;83,01;4.196.289
08.03.17;86;86,65;87,02;85,6;1.105.107
07.03.17;86,47;86,32;86,86;86,06;1.025.264
06.03.17;86,69;86,35;87,03;86,01;1.025.674
03.03.17;86,72;87;87,67;86,47;1.017.310
02.03.17;86,49;87,18;87,39;86,33;1.122.990
01.03.17;85;86,67;86,94;84,83;2.033.028
28.02.17;84,59;84,37;84,84;83,98;1.107.265
27.02.17;84,63;84,52;85,02;84,36;950.395
24.02.17;85,82;84,25;85,92;83,47;1.920.210
23.02.17;87;85,76;87,59;85,59;1.199.782
22.02.17;86,92;86,81;87,18;86,22;1.203.491
21.02.17;85,19;86,53;86,67;84,7;1.408.494
20.02.17;85,7;85,07;86,25;84,99;852.443
17.02.17;85,38;85,03;85,41;84,22;1.300.475
16.02.17;86,2;85,45;86,24;85,04;1.230.592
15.02.17;86,81;86,18;87,14;85,2;1.047.116
14.02.17;86,68;86,3;86,95;85,89;1.196.841
13.02.17;85,28;86,69;87,21;85,1;1.707.298
10.02.17;85,44;85,07;85,6;84,68;1.225.759
09.02.17;83,77;84,79;85;83,04;1.786.771
08.02.17;82,73;83,49;83,72;82,47;1.552.697
07.02.17;82,81;82,78;83,62;82,47;1.084.469
06.02.17;83,74;82,94;84,05;82,55;1.739.679
03.02.17;84,43;84,03;84,75;83,99;1.084.952
02.02.17;84,11;84,2;84,77;83,65;1.294.157
01.02.17;84,83;84,62;85,7;84,23;1.352.724
31.01.17;86,27;84,17;86,51;84,17;2.052.243
30.01.17;87,05;86,29;87,45;85,94;1.538.027
27.01.17;87,99;87,41;87,99;87,09;1.340.989
26.01.17;89,76;88,13;89,76;87,88;1.295.080
25.01.17;87,88;88,8;89,4;87,83;1.745.950
24.01.17;86,39;87,33;87,6;86,39;1.069.901
23.01.17;86,51;86,26;86,78;85,98;1.184.095
20.01.17;86,58;87,15;87,37;86,08;1.646.303
19.01.17;86,9;86,59;87,39;86,42;1.368.684
18.01.17;86,65;87;87,04;86,18;1.077.436
17.01.17;86,2;86,47;87,18;85,19;1.480.197
16.01.17;86;86,53;87,16;85,5;1.384.090
13.01.17;88,13;87,81;89,2;87,22;1.908.167
12.01.17;89,9;87,46;90,32;86,76;2.233.218
11.01.17;89,69;90,13;90,42;89,1;1.438.353
10.01.17;89,84;89,91;90,52;88,99;1.252.387
09.01.17;90,79;89,83;90,79;89,31;1.413.820
06.01.17;90,32;90,51;90,7;89,81;969.606
05.01.17;89,5;90,34;90,59;89,48;967.699
04.01.17;91,02;90,18;91,57;89,3;1.224.694
03.01.17;90,5;90,83;91,76;90,49;1.514.253
02.01.17;88,34;89,98;90,27;87,81;774.391
30.12.16;88,42;88,75;88,89;87,51;760.809
29.12.16;89,01;88,52;89,2;88,04;1.068.188
28.12.16;89,71;89,85;90,21;89,55;554.383
27.12.16;89,84;89,7;90,18;89,46;483.756
23.12.16;89,72;89,96;90,33;89,69;665.904
22.12.16;89,73;89,67;90,85;89,44;928.293
21.12.16;90;90,07;90,67;89,9;1.009.885
20.12.16;89,01;90,25;90,43;88,66;1.760.752
19.12.16;89,61;90,11;90,22;89,1;1.132.010
16.12.16;89,75;90;90,78;89,29;2.550.729
15.12.16;89;89,75;89,96;86,73;2.336.676
14.12.16;89,92;89,05;90,43;89,04;1.973.261
13.12.16;88,25;88,9;89,4;88,1;1.401.304
12.12.16;88,5;88,09;89,1;87,33;1.398.367
09.12.16;88,4;88,77;89,26;87,66;1.870.981
08.12.16;87;88,99;89,33;86,65;3.308.826
07.12.16;84,08;86,32;86,62;84,06;2.508.926
06.12.16;82,52;83,37;83,63;81,97;1.560.553
05.12.16;79,31;82,4;82,6;79,2;2.083.892
02.12.16;79,21;79,82;80,03;78,56;1.476.924
01.12.16;80,16;80,07;80,77;79,45;1.411.483
30.11.16;81,18;80,41;81,31;80,03;1.712.074
29.11.16;82,14;81,2;82,14;80,3;1.555.821
28.11.16;81,92;82,06;82,56;81,56;1.171.748
25.11.16;82,43;82,79;82,79;81,92;798.224
24.11.16;82,49;82,51;82,8;82,09;663.757
23.11.16;83,2;82,24;83,31;81,13;1.825.460
