Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Volumen
02.01.2016;100;100;100,00;100,00;2624893
03.01.2016;100;100;100,50;100,50;5625420
04.01.2016;100;100;101,00;101,00;715252
07.01.2016;100;100;101,51;101,51;8853423
08.01.2016;100;100;102,02;102,02;1984212
09.01.2016;100;100;102,53;102,53;8934506
10.01.2016;100;100;103,04;103,04;5662226
11.01.2016;100;100;103,55;103,55;536374
14.01.2016;100;100;104,07;104,07;6377692
15.01.2016;100;100;103,55;103,55;6085471
16.01.2016;100;100;103,04;103,04;9346580
17.01.2016;100;100;102,53;102,53;863389
18.01.2016;100;100;102,02;102,02;651679
21.01.2016;100;100;101,51;101,51;2882601
22.01.2016;100;100;101,00;101,00;2824670
23.01.2016;100;100;100,50;100,50;734982
24.01.2016;100;100;100,00;100,00;1395932
25.01.2016;100;100;100,50;100,50;1382626
28.01.2016;100;100;101,00;101,00;6058590
29.01.2016;100;100;101,51;101,51;839146
01.02.2016;100;100;102,02;102,02;8427090
02.02.2016;100;100;102,53;102,53;209064
03.02.2016;100;100;103,04;103,04;7535059
06.02.2016;100;100;103,55;103,55;2857056
07.02.2016;100;100;104,07;104,07;9847128
08.02.2016;100;100;103,55;103,55;2218193
09.02.2016;100;100;103,04;103,04;5945777
10.02.2016;100;100;102,53;102,53;4491477
13.02.2016;100;100;102,02;102,02;4644400
14.02.2016;100;100;101,51;101,51;3144872
15.02.2016;100;100;101,00;101,00;3175164
16.02.2016;100;100;100,50;100,50;8669771
17.02.2016;100;100;100,00;100,00;564612
20.02.2016;100;100;100,50;100,50;4631836
21.02.2016;100;100;101,00;101,00;9257414
22.02.2016;100;100;101,51;101,51;954986
23.02.2016;100;100;102,02;102,02;6551363
24.02.2016;100;100;102,53;102,53;5133996
27.02.2016;100;100;103,04;103,04;4193289
28.02.2016;100;100;103,55;103,55;8192694
29.02.2016;100;100;104,07;104,07;8440624
30.02.2016;100;100;103,55;103,55;2589627
31.02.2016;100;100;103,04;103,04;8558132
03.03.2016;100;100;102,53;102,53;5727862
04.03.2016;100;100;102,02;102,02;3790821
05.03.2016;100;100;101,51;101,51;3463264
06.03.2016;100;100;101,00;101,00;4686054
07.03.2016;100;100;100,50;100,50;145179
10.03.2016;100;100;100,00;100,00;6739934
11.03.2016;100;100;100,50;100,50;3790482
12.03.2016;100;100;101,00;101,00;2881295
13.03.2016;100;100;101,51;101,51;9417924
14.03.2016;100;100;102,02;102,02;6603300
17.03.2016;100;100;102,53;102,53;9192636
18.03.2016;100;100;103,04;103,04;2586257
19.03.2016;100;100;103,55;103,55;2594571
20.03.2016;100;100;104,07;104,07;4560563
21.03.2016;100;100;103,55;103,55;2480045
24.03.2016;100;100;103,04;103,04;6726735
25.03.2016;100;100;102,53;102,53;6708996
26.03.2016;100;100;102,02;102,02;1227493
27.03.2016;100;100;101,51;101,51;9424959
28.03.2016;100;100;101,00;101,00;8558374
01.04.2016;100;100;100,50;100,50;9469275
02.04.2016;100;100;100,00;100,00;4168154
03.04.2016;100;100;100,50;100,50;5561079
04.04.2016;100;100;101,00;101,00;4254411
05.04.2016;100;100;101,51;101,51;2461693
08.04.2016;100;100;102,02;102,02;8475167
09.04.2016;100;100;102,53;102,53;9454260
10.04.2016;100;100;103,04;103,04;1203264
11.04.2016;100;100;103,55;103,55;1100763
12.04.2016;100;100;104,07;104,07;5430573
15.04.2016;100;100;103,55;103,55;789430
16.04.2016;100;100;103,04;103,04;1525553
17.04.2016;100;100;102,53;102,53;4362651
18.04.2016;100;100;102,02;102,02;3957088
19.04.2016;100;100;101,51;101,51;4831649
22.04.2016;100;100;101,00;101,00;2673647
23.04.2016;100;100;100,50;100,50;9458564
24.04.2016;100;100;100,00;100,00;7079281
25.04.2016;100;100;100,50;100,50;8344622
26.04.2016;100;100;101,00;101,00;2142857
29.04.2016;100;100;101,51;101,51;4036303
30.04.2016;100;100;102,02;102,02;936491
31.04.2016;100;100;102,53;102,53;5887871
01.05.2016;100;100;103,04;103,04;1301899
02.05.2016;100;100;103,55;103,55;1242316
05.05.2016;100;100;104,07;104,07;7024057
06.05.2016;100;100;103,55;103,55;9564151
07.05.2016;100;100;103,04;103,04;4141281
08.05.2016;100;100;102,53;102,53;1033222
09.05.2016;100;100;102,02;102,02;9286694
12.05.2016;100;100;101,51;101,51;9751606
13.05.2016;100;100;101,00;101,00;341752
14.05.2016;100;100;100,50;100,50;4494935
15.05.2016;100;100;100,00;100,00;6447632
16.05.2016;100;100;100,50;100,50;9130536
19.05.2016;100;100;101,00;101,00;8481027
20.05.2016;100;100;101,51;101,51;6609128
21.05.2016;100;100;102,02;102,02;6529384
22.05.2016;100;100;102,53;102,53;7402540
23.05.2016;100;100;103,04;103,04;4425437
26.05.2016;100;100;103,55;103,55;6900964
27.05.2016;100;100;104,07;104,07;4906781
28.05.2016;100;100;103,55;103,55;9500193
29.05.2016;100;100;103,04;103,04;1994248
30.05.2016;100;100;102,53;102,53;6708598
03.06.2016;100;100;102,02;102,02;9430170
04.06.2016;100;100;101,51;101,51;5798303
05.06.2016;100;100;101,00;101,00;7837850
06.06.2016;100;100;100,50;100,50;6434166
07.06.2016;100;100;100,00;100,00;6166459
10.06.2016;100;100;100,50;100,50;8863192
11.06.2016;100;100;101,00;101,00;137058
12.06.2016;100;100;101,51;101,51;6067554
13.06.2016;100;100;102,02;102,02;7127932
14.06.2016;100;100;102,53;102,53;7614315
17.06.2016;100;100;103,04;103,04;1209295
18.06.2016;100;100;103,55;103,55;7518423
