Datum;Eröffnung;Schluss;Tageshoch;Tagestief;Volumen
02.01.2016;100;100;100,00;100,00;3579778
03.01.2016;100;100;100,02;100,02;534391
04.01.2016;100;100;101,34;101,34;2067444
07.01.2016;100;100;101,60;101,60;6028148
08.01.2016;100;100;102,60;102,60;5977940
09.01.2016;100;100;102,73;102,73;8540818
10.01.2016;100;100;103,76;103,76;1773352
11.01.2016;100;100;101,91;101,91;4879510
14.01.2016;100;100;100,55;100,55;1054557
15.01.2016;100;100;100,28;100,28;2204563
16.01.2016;100;100;100,02;100,02;4734672
17.01.2016;100;100;98,12;98,12;9212715
18.01.2016;100;100;97,10;97,10;7491958
21.01.2016;100;100;96,56;96,56;547536
22.01.2016;100;100;96,23;96,23;8821540
23.01.2016;100;100;97,84;97,84;463591
24.01.2016;100;100;96,83;96,83;6204828
25.01.2016;100;100;95,11;95,11;8603705
28.01.2016;100;100;93,55;93,55;5657691
29.01.2016;100;100;91,79;91,79;3617428
01.02.2016;100;100;90,55;90,55;9978627
02.02.2016;100;100;88,90;88,90;5669219
03.02.2016;100;100;89,78;89,78;4077918
06.02.2016;100;100;91,05;91,05;3229452
07.02.2016;100;100;92,77;92,77;4916103
08.02.2016;100;100;93,88;93,88;2138360
09.02.2016;100;100;95,28;95,28;4809080
10.02.2016;100;100;96,80;96,80;167515
13.02.2016;100;100;98,29;98,29;6568184
14.02.2016;100;100;99,00;99,00;216147
15.02.2016;100;100;99,80;99,80;6443300
16.02.2016;100;100;99,29;99,29;2068008
17.02.2016;100;100;99,13;99,13;1838434
20.02.2016;100;100;97,89;97,89;1151952
21.02.2016;100;100;96,04;96,04;9891169
22.02.2016;100;100;95,89;95,89;3005820
23.02.2016;100;100;97,46;97,46;6275617
24.02.2016;100;100;96,02;96,02;1804481
27.02.2016;100;100;96,01;96,01;934409
28.02.2016;100;100;94,82;94,82;8201370
29.02.2016;100;100;94,34;94,34;5206831
30.02.2016;100;100;95,08;95,08;6327004
31.02.2016;100;100;96,21;96,21;8241563
03.03.2016;100;100;96,30;96,30;7722565
04.03.2016;100;100;97,77;97,77;6314063
05.03.2016;100;100;99,66;99,66;4552733
06.03.2016;100;100;100,04;100,04;7266955
07.03.2016;100;100;98,23;98,23;9086747
10.03.2016;100;100;96,74;96,74;719892
11.03.2016;100;100;98,19;98,19;7263746
12.03.2016;100;100;99,33;99,33;8822286
13.03.2016;100;100;99,59;99,59;2427517
14.03.2016;100;100;99,85;99,85;9423461
17.03.2016;100;100;99,31;99,31;9942904
18.03.2016;100;100;98,35;98,35;4791860
19.03.2016;100;100;100,15;100,15;3463523
20.03.2016;100;100;101,21;101,21;2015747
21.03.2016;100;100;101,32;101,32;836675
24.03.2016;100;100;101,96;101,96;2456612
25.03.2016;100;100;103,39;103,39;8891128
26.03.2016;100;100;103,76;103,76;5003526
27.03.2016;100;100;104,10;104,10;6197857
28.03.2016;100;100;105,14;105,14;3198701
01.04.2016;100;100;106,15;106,15;6020093
02.04.2016;100;100;108,25;108,25;7784332
